Event_Cat,Page,Event_brite_url,Event_Name,Event_Time,Event_Link,Event_Location,Start_date_Event_Page,Event_Title,Event_Summary,Event_Date_Range,Event_Address,Event_Description,Event_Tag_List,Ticket_Fare
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,"Jobs Expo Dublin - Saturday, 22nd April, 2023","Sat, Apr 22, 10:00 AM",https://www.eventbrite.ie/e/jobs-expo-dublin-saturday-22nd-april-2023-tickets-483102441407?aff=ebdssbdestsearch,Hogan Suite • Dublin,2023-04-22,"Jobs Expo Dublin - Saturday, 22nd April, 2023",FREE TICKETS will be available via registration in 2023.,"Sat, 22 Apr 2023 10:00 - 16:00 IST",Hogan Suite Croke Park Jones' Rd 1 Dublin,"Jobs Expo is returning to Croke Park in 2023! Jobs Expo Dublin will take place on Saturday, 22nd April (10am-4pm) inside the Hogan Suite. This careers fair will be brought to you by Recruit.ie and will feature hundreds of active job opportunities . Jobs Expo is the only careers exhibition of its type to feature FREE ADMISSION.What can you expect at Jobs Expo Dublin?Employers actively recruiting for hundreds of jobs at home and abroadSpecialised areas dedicated to jobs in particular industriesStart your own business experts offering advice and support networksThe Career Clinic offering one-on-one CV, job seeking and career advice from professional career guidance counsellorsA packed seminar timetable on important and topical issues by a range of industry expertsCareer ClinicThe Career Clinic offers the chance for attendees to meet with professional development coaches. They can help candidates with crucial issues such as interview skills, CV presentation and changing career direction.Agenda StageJobs Expo's  Agenda Stage will host talks on a variety of topics including jobseeking skills such as using social media to land your dream job and interview techniques as well as a CV writing workshop. Other seminars include talks by industry insiders on a variety of career topics.We look forward to seeing you at Jobs Expo Dublin!Privacy / Terms & ConditionsYour privacy is important to use and we will never sell, rent or give away your personal information you give us. When you register to attend an event you’ll be asked to choose your preferences in hearing from us again. Read our Privacy Policy here and Terms & Conditions here. Normally we take photos and video at our events which may be used for our own promotional use (social media, website) and your registration confirms your consent to this use. If you object to this just let us know on the day of the event and we will take steps to ensure your preference is respected.Wondering if you have the right to work in Ireland? You'll find the answer here. All the best, The Jobs Expo Team","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Conventions', 'Dublin Business Conventions', '#seminar', '#careers', '#careerdevelopment', '#jobsfair', '#jobsearch', '#career_fair', '#career_development', '#career_change', '#career_coaching', '#recruitment_event']",
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,NIBRT Careers in Biopharma 2023,"Sat, Apr 1, 10:00 AM",https://www.eventbrite.ie/e/nibrt-careers-in-biopharma-2023-tickets-530380340877?aff=ebdssbdestsearch,"The Campus, Cherrywood • Dublin",2023-04-01,NIBRT Careers in Biopharma 2023,This free event provides the opportunity to meet biopharma companies actively recruiting for 100s of roles across Ireland.,"Sat, 1 Apr 2023 10:00 - 15:30 IST","The Campus, Cherrywood The Campus Cherrywood, F2 Building, 4th Floor Loughlinstown D18 E440 Dublin","The 9th annual NIBRT Careers in Biopharma event is returning to The Campus Cherrywood on 1st April 2023. This event is a unique opportunity for students, recent graduates, and individuals seeking to join the thriving biopharma industry in Ireland. Meet with leading employers, attend company presentations, learn about the latest training and upskilling programs, and network with industry peers. Admission is free, but registration is required in advance.W﻿ho should attend?This event is ideal for students, recent graduates, and anyone seeking to enter the biopharma workforce in Ireland. On the day, you can expect to:Meet with employers actively hiring for biopharma roles and discuss job opportunities directly with recruitment teams.Listen to live presentations from top employers and gain insights into the company and industry.Discover the latest training and upskilling programs in the biopharma sector.G﻿etting to event:The Campus Cherrywood is conveniently located 2 minutes from Bride's Glen Luas station and offers free parking. Exhibitor InformationOrganisations interested in exhibiting can contact emer.norton@nibrt.ie for more information. Early booking is recommended as places are limited.Exhibiting CompaniesAbbVie, Alexion, A﻿mgen,  APC Ltd and VLE Therapeutics,  ATU Sligo, Azon Recruitment, Biomarin, Bristol Myers Squibb, Crest Solutions, DPS Group, Cognizant, Eurofins Biopharma Product Testing Ltd, Eli Lilly, Janssen Sciences Ireland, LSC, MSD Ireland, Next Generation, NIBRT, PDA Ireland, Pioneer, Sanofi, Takeda Ireland, WuXi Biologics & WuXi Vaccines and Zoetis. More TBCThe Biopharma Industry in IrelandThe success of the Irish biopharma industry is well  documented, with biopharma firmly established as a key pillar of the Irish economy.There are 84,000 highly skilled people directly and indirectly employed in the sector and the expectation is that this will increase by up to 10,000 jobs over the next 5 years.The biopharma and chemical sector had an export value of €106bn in 2020 – the first time a sector has exceeded the €100 billion mark in a single year.85+ pharmaceutical companies operate in Ireland with exemplary regulatory track records. There are over 50 FDA approved pharma and biopharma plants including 19 of the top 20 world’s biopharma companiesAbout NIBRTNational Institute of Bioprocessing Research and Training, NIBRT, is a world-class institute, delivering training and research solutions for the global biopharmaceutical industry. Partnering with all higher education institutes as well as industry, NIBRT's state of the art training facility supports international best practice in biologics operations. About The Campus CherrywoodThe Campus Cherrywood is Dublin’s life sciences destination, designed to meet the complex needs of life sciences companies to help them grow their businesses and be part of a wider community of like-minded innovators. The Campus Cherrywood is home to the Pioneer Group’s newly opened state-of-the-art Life Science incubation and acceleration facility comprising of fitted labs, offices and functional spaces for startups and SMEs. It is the location of choice in Ireland for many companies that operate across a range of industries including APC, Genuity Science, Zoetis, Accenture, Abbott and Mater Private.","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Expos', 'Dublin Business Expos', '#careerdevelopment', '#biopharma', '#biopharmaceutical', '#career_fair', '#career_change']",
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,Temple Bar Toastmasters- Practice your Public Speaking ability & Leadership,"Tue, Apr 4, 7:00 PM + 1 more event",https://www.eventbrite.ie/e/temple-bar-toastmasters-practice-your-public-speaking-ability-leadership-tickets-430428662717?aff=ebdssbdestsearch,Carmelite Community Centre • Dublin 2,,Temple Bar Toastmasters- Practice your Public Speaking ability & Leadership,We are based in Dublin City Centre and hold in person meetings. The club supports all levels of speakers. Boost your leadership!,"Tue, 18 Oct 2022 19:00 - Tue, 20 Jun 2023 21:00 IST",Carmelite Community Centre 56 Aungier Street D02 T258 Dublin 2,"With Toastmasters you will set your own speaking goals,  following Pathways, a series of speeches to try for all occasions, from inspiring others,  to dealing with difficult audiences to even wedding speeches!.  Starting off with your first speech- your ICE breaker telling us more about who you are.You have the option to enter  compettitions which can take you from club to international level.This is a friendly , supprtive group. EVERYONE is here to improve their speaking skills and leadership skills and they gain this knowledge by the constructive feedback they receive.All welcome, come see what we are all about and start getting seen as the expert in your field through public speaking.All first time guests must register. Sign in desks open at 18.45 on the night! See you there!","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Classes', 'Dublin Business Classes', '#networking', '#leadership', '#talent', '#speech', '#toastmasters', '#dublin', '#trysomethingnew', '#publicspeakingworkshop', '#leadership_development', '#leadership_skills']",Free
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,PRO FOTO IRELAND 2023,"Tue, Apr 18, 10:00 AM",https://www.eventbrite.ie/e/pro-foto-ireland-2023-tickets-522413662327?aff=ebdssbdestsearch,Green Isle Hotel Conference - Dublin 22 • Dublin,2023-04-18,PRO FOTO IRELAND 2023,PRO FOTO IRELAND - is Ireland’s first and longest running Photography & Imaging Trade Show.,"Tue, 18 Apr 2023 10:00 - 16:00 IST",Green Isle Hotel Conference - Dublin 22 Saint John's Drive Dublin,"PRO FOTO IRELAND - is Ireland’s first and longest running Photography & Imaging Trade Show.  It has had many changes over the years, including in more recent years, new and international Trade Exhibitors who have been invited to participate.  This event is for the ‘Professional Photographers and Videographers’ and serious ‘Freelance Photographers’ – however all status of Image Makers are welcome to visit the PRO FOTO IRELAND events.  This is a day for Image Maker to browse in a relaxed atmosphere, yet informative with other colleagues and related major suppliers.

Key Features - Cameras & Lenses; Lighting; Accessories; Photo Albums/Books; Printers-Papers & Ink; Frames & Finishing; Folders & Mounts; Insurance; Imaging Software; New Services; and Associations & Education.  

Come and see the Key Irish Suppliers and International Trade display the latest major brands, new products and services from the best innovators of the Photographic & Imaging industry.  If you are an existing professional or freelance Image Maker or maybe starting a career in this industry – this is a must event for you! 

W - http://profotoireland.ie 

","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Conferences', 'Dublin Business Conferences', '#photography', '#videography', '#photographyworkshop', '#videographers', '#imaging', '#albums', '#photography_workshop', '#photography_event', '#video_production', '#videography_class']",
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,What should Ireland’s recruiters prioritise for profitable growth?,"Thu, Apr 20, 8:30 AM",https://www.eventbrite.co.uk/e/what-should-irelands-recruiters-prioritise-for-profitable-growth-tickets-526328321177?aff=ebdssbdestsearch,The Westbury • Dublin 2,2023-04-20,What should Ireland’s recruiters prioritise for profitable growth?,Join us at The Westbury Hotel on Thursday 20th April 2023 to explore growth challenges and opportunities for Irish staffing and TS providers,"Thu, 20 Apr 2023 08:30 - 13:30 IST",The Westbury Balfe Street Dublin 2,"After several years of disruption in recruitment - with new expectations from clients, candidates, and consultants - how are the best in sector adapting to find and keep the best talent? How can recruiters in Ireland access the best new opportunities for growth - whether its new territories, new models and services, or new clients and candidates? What is transforming recruitment? Where will automation, AI and data have the biggest impact? How will the talent market evolve, who will the winners be, and why? TALiNT Partners will bring together industry experts, solution providers and award-winning recruitment leaders to answer these and other questions in panel debates and roundtable discussions followed by a leaders’ lunch to connect with peers. Agenda 08.30: Registration & Refreshments 09.00: Welcome & state of the sector: Alex Evans, Managing Director, TALiNT Partners 09.10: Panel: How can recruiters win the war for talent for themselves and their clients? 09.40: Roundtable discussion 10.00: Panel: How can recruiters maximise international growth opportunities? 10.30: Roundtable discussion 10.50: BREAK 11.10: Panel: What trends, tools and models are transforming recruitment? 11.40: Audience Q&A 12.00: Round-up & Lunch 13.30: Close **This is an invitation only event** If you would like to register for more than one ticket, please fill in the details of your other attendees when you register, for our records.","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Networking', 'Dublin Business Networking']",
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,StartUp Ballymun presents  'Growing a Sustainable Business',"Wed, Apr 19, 4:30 PM",https://www.eventbrite.ie/e/startup-ballymun-presents-growing-a-sustainable-business-tickets-567922580727?aff=ebdssbdestsearch,Council Chamber • Dublin,2023-04-19,StartUp Ballymun presents  'Growing a Sustainable Business',"It's StartUp Ballymun #10 on 19 April - you are welcome! It's free.
For Founders of startups, business owners and budding entrepreneurs","Wed, 19 Apr 2023 16:30 - 20:00 IST",Council Chamber Civic Centre Main St. Ballymun D09 C8P5 Dublin," S﻿tartUp Ballymun is sponsored by the Dublin City Council - Ballymun Area OfficeS﻿ustainability in Business is the only way forward, learn how female entrepreneurs have adapted a Sustainble business model.F﻿irst  Panel members announced-﻿ Carol Lopez of Culinary Microherbs-﻿ Pamela Doyle of Job Alert-﻿ Emma Finn of Bees on the Roof-﻿ Susan Owens of Native DenimsEvent starts at 4.30pm with free business mentoring, Digital Guidance, information stands from local businesses & business support agencies. And of course networking.M﻿eet the great folk from Ballymun's Rediscovery Centre the National Centre for the Circular Economy in Ireland. The Social Innovation Hub  is home to a community of people; social entrepreneurs, freelance professionals, start-ups, non-profits, creatives and others who are involved in creating positive change in our communities. Dublin Northwest Partnership’s (DNP) core business is responding to social exclusion issues by promoting self-development, training, education, employment and self-employment opportunities for individuals and community groups. Shout out on Sustainability at  5.30pm, and Panel of Entrepreneurs starts about 6pm. Light food and refreshments will be available, at no charge.More details to follow of Panel speakers, information is subject to changeE﻿vent MC: Billy Linehan, Celtar Advisers","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Networking', 'Dublin Business Networking', '#networking', '#mentoring', '#sustainability', '#entrepreneur', '#digital', '#startups', '#dublin', '#businessnetworking', '#women_in_business', '#female_entrepreneurs']",
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,"Inaugural Lecture for Prof. Catherine Welch, Prof. of Strategic Management","Tue, Apr 4, 6:00 PM",https://www.eventbrite.ie/e/inaugural-lecture-for-prof-catherine-welch-prof-of-strategic-management-tickets-542875955597?aff=ebdssbdestsearch,Trinity Business School • Dublin 2,2023-04-04,"Inaugural Lecture for Prof. Catherine Welch, Prof. of Strategic Management",Seductive Concepts: How Management Fashions become Management Theories,"Starts on Tue, 4 Apr 2023 18:00 IST",Trinity Business School Pearse Street D02 H308 Dublin 2,"Why do management researchers study what they do? What explains the popularity of some research topics over others? Where do management theories come from and why does this matter? How do we decide which ideas attain the status of theory? In this lecture I examine an alluring source of inspiration for theory development in management and strategy research: management fashions. 
Management fashions are simplistic recipes for success accompanied by catchy phrases but scant empirical evidence.  They are created, popularized and disseminated by some of the most powerful idea merchants in the contemporary global economy: management consultants. They have also proven to be highly attractive to management researchers, who have played an important role in cementing their reach, influence and respectability. 
In line with existing inquiry into management fashions, I take an institutional approach to examine how consulting-derived concepts are established and legitimized in the management field. In order to illustrate this process, I select an influential fashion in international strategy – the ‘born global’ firm – and examine its consulting origins and its impact on academic research. By means of an in-depth analysis of key texts, I follow the fashion lifecycle of the ‘born global’ concept, from creation to import, institutionalization and eventual mutation. In doing so, I address how it was that the concept was able to gain legitimacy as a set of theoretical claims, despite the lack of strong empirical foundations or robust examination. 
I conclude with the broader implications for management research and the societal role of universities.  Specifically, I outline how as a scholarly community, we might engage more productively and critically with the influence of management consultants. Now that management scholars are being urged to make our research more ‘relevant’, I argue for the timeliness of examining and rethinking the consulting-research nexus. In a neo-liberal era in which multinational consulting firms have accumulated vast power and influence with very little oversight, I invite a discussion about how management researchers may reassert their identities as independent voices. 
","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Seminars', 'Dublin Business Seminars', '#management', '#business_professional']",
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,"Monthly #FirstFridayFair Business, Data & Tech (Virtual Event) - #DUB","Fri, Apr 7, 11:00 AM",https://www.eventbrite.com/e/monthly-firstfridayfair-business-data-tech-virtual-event-dub-tickets-26653593616?aff=ebdssbdestsearch,Virtual Event [Online Only] • Virtual Event Only,,"Monthly #FirstFridayFair Business, Data & Tech (Virtual Event) - #DUB",Attend World's Largest Virtual Career Drive at https://fff.analyticsweek.com/jobexpo,"August 1, 2016 · 7pm - January 3, 2025 · 2pm IST",Virtual Event [Online Only] Virtual Event Only Virtual Event Only,"These Virtual Career Fair Event Happens on First Friday of the Month.. To participate:1. Create an account on https://fff.analyticsweek.com [link: https://fff.analyticsweek.com/login/]2. Visit https://fff.analyticsweek.com/jobexpo and register your interest3. Participants then go to #FirstFridayFair JobExpo settings page to complete the profile4. 2-3 days before the event, JobSeekers participants with the completed profile will be contacted about the possible matches on their profile.5. On the day of the event, JobSeekers and Recruiters will visit their JobExpo page to participate in #FirstFridayFair JobExpo.#FirstFridayFair (#FFF) is is World's largest attended career fair with around 170,000 professionals and 7000 recruiting companies. The data science and software development focussed career fair is delivered right at your desktop. No need to travel anywhere, just signup and wait for JobExpo [AI powered career fair] to organize your interactions. We've taken all the inefficiencies from the career fair and added everything that makes career fair a successful event. Just signup and experience the future of hiring delivered via TAO.ai (World's fastest growing AI led career development platform).Here's the process:When: Each month event occur on First Friday of the Month (Business, Data, and Technology hiring)Where: Over https://fff.analyticsweek.com/jobexpo platform (TAO.ai will inform recruiter / job seeker if any match is found, so you will never waste your time in the queue).Why it Matters?Best industry hirings are done with the power of networking and reference. TAO.ai using it AI platform uses the power of skill connectivity and identical profile portfolio to connect similar candidates to relevant opportunities. TAO.ai brings relationship and connection back into hiring.Takeaways?We expect the event to:1. Create interesting conversations2. Improve access to local talent and local opportunities3. Provide a venue to promote effective hiring4. Connect professionals with other seekers so they could collaborate and improve their search5. Discover what some of the top businesses are looking for in a talent6. Educate recruiters and job seekers about top trends and hiring skills that are trendy and rising.About TAO.ai:TAO.ai is an Artificial Intelligence led platform that is building and improving access to top talent, facilitate sustained hiring and create a smart ecosystem that works between top talent and top opportunities to promote long term prospects for businesses and professionals. TAO.ai has already resulted in some of the top hirings in the industry.","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Festivals', 'Dublin Business Festivals']",Free
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,The basics of good leadership in health and safety,"Wed, Apr 19, 12:30 PM",https://www.eventbrite.co.uk/e/the-basics-of-good-leadership-in-health-and-safety-tickets-547244171047?aff=ebdssbdestsearch,"Clayton Hotel Liffey Valley, • Dublin",2023-04-19,The basics of good leadership in health and safety,This conference will provide tips on good health and safety leadership and how to instil a positive safety culture in your organisation.,"Wed, 19 Apr 2023 12:30 - 17:00 IST","Clayton Hotel Liffey Valley, Fonthill Rd Liffey Valley Dublin","This conference will provide tips on good health and safety leadership, how to instil a positive safety culture in your organisation, how to be a good role model for positive health and safety practices and much more.  A good leader in Health and Safety will influence a good health and safety culture in an organisation and in turn have a positive performance on all health and safety matters.  With effective health and safety strategies in place, the leader has the ability to make a positive impact on workers behaviours and attitudes towards their own working practices.Focusing on the Core element of IOSH’s Competency Framework will help IOSH members with their CPD in this area.  A core skill of a health and safety leader is to develop a good professional relationship with workers, which will help open the communication channels more between the health and safety person and workers.  Join this event to hear from experts in this area to gain some tips and tools to bring back to your organisations and your own continual professional development.  T﻿his event plans to cover the following IOSH competencies: Leadership and management, Professional Journey Progression, Planning under the Lead level. R﻿efreshments and light lunch included. For any dietary requirements, please email irelandeast@ioshnetworks.com","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Conferences', 'Dublin Business Conferences', '#health', '#safety', '#iosh']",
business--events,1,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,Onward #3 - Immersive Technologies for Civic Engagement,"Thu, Apr 20, 6:00 PM",https://www.eventbrite.ie/e/onward-3-immersive-technologies-for-civic-engagement-tickets-582247978377?aff=ebdssbdestsearch,Meta • Dublin,2023-04-20,Onward #3 - Immersive Technologies for Civic Engagement,Exploring the opportunities and challenges around Immersive Technologies for Civic Engagement,"Thursday, April 20 · 6 - 9pm IST",Meta Serpentine Avenue #Block J D04 N9T7 Dublin,"Eirmersive is delighted to announce Onward #3 : Exploring the opportunities and challenges around Immersive Technologies for Civic Engagement - the third in our Immersive Industry event series supported by Meta. Onward #3 takes place on the evening of Thursday April 20th at Meta HQ in Ballsbridge, Dublin.Featuring the leading thinkers, companies and product demonstrations from the world of Augmented and Virtual Reality, ‘Onward’ aims to bring industry together to network, share cross-sector knowledge and to learn more about the value and impact of immersive technologies in the enterprise and creative sectors. Eirmersive chairperson, Fiona Kilkelly said, ""Onward creates a much needed opportunity for the immersive tech sector to meet new collaborators, gain new insight and information and experience immersive tech products, experiences and solutions. Connecting and sharing is vital at this stage in the immersive tech sector’s growth and we are delighted with the support from Meta which enables Eirmersive to do just that"". A﻿GENDA6.00 - 6.10pm: Doors Open6.00 - 6.20pm: Demo’s, Networking & Mixing6.20 - 6.30pm: Introduction and Welcome address (Eirmersive and Meta)6.30 - 6.40pm:  Carol Tallon - PLACEengage6.40 - 6.50pm: Lisa Deacon - Fingal County Council6.50 - 7.00pm: Michael Galbraith - ARUP7﻿.00 - 7.10pm: John Flanagan - Innovision7﻿.10 - 7.20pm: Michael Guerin - Imvizar7﻿:20 - 7:30pm: Saoirse Colgan - Enterprise Ireland7.30 - 7.50pm: Panel discussion on Immersive Technologies for Civic Impact with Carol Tallon, Lisa Deacon, Michael Galbraith, John Flanagan, Michael Guerin and Saoirse Colgan7﻿.50 - 8.00pm: Introductions to application demos8:00 - 9:00pm: Food, Demo’s, Networking & MixingPRESENTATIONSC﻿arol Tallon, Property DistrictCarol Tallon, CEO of communications agency Property District, is a legal graduate, now specialising in PR, new media and public consultation for the built environment. With more than 15 years experience across the planning, construction, property and proptech sectors, Carol has worked with government agencies, industry representative bodies, property developers, construction contractors, auctioneering firms and media outlets. In addition to founding Proptech Ireland as an ESG initiative back in 2016 and rolling out Ireland’s virtual town hall ‘PLACEengage’, Carol and the Property District team produce Ireland’s first weekly radio show for the property industry ‘Property Matters’ on Dublin South FM and iPropertyRadio.com.  Carol will talk about PLACEengage, a virtual town hall: Digital Placemaking & Emerging Technologies for Urban Development:  Placemaking describes a more holistic and inclusive approach to successful, sustainable, people-centred urban development. New tools and technologies allow project owners to host all digital assets pertaining to a project on one AI-enabled platform, then invite and gather data and local area insights from the community. Project stakeholders and local communities can 'experience' the proposed new development through immersive technologies like augmented reality and virtual reality. By using emerging technologies to capture the insights of  planners, designers, engineers and architects together with local communities and end users of mixed tenure developments, what you get is a regulatory-compliant, citizen-owned neighbourhood strategy that works.L﻿isa Deacon, Fingal County CouncilLisa Deacon works as a Digital Project Manager for Fingal County Council.  She joined Fingal’s Library Department in 2001 after doing courses in Physics and Instrumentation and Computer programming.  In 2015, Lisa completed a BSoc in Social Science. This course reignited her interest in technology and digital transformation.  In 2019 Lisa moved to Fingal’s Digital Services Department where she has been working on the implementation of the Fingal Digital Strategy and looking at immersive technologies and how they can enhance citizen engagement.   Fingal County Council is a Local Authority, north of Dublin City, with offices at Swords and Blanchardstown. It serves a geographical location of 448. sq km which spans rural, coastal, urban, and suburban communities and is home to several key elements of national and regional infrastructure, including Dublin Airport.  Fingal County Council is committed to driving innovation in public services and is continually striving to improve and develop the services it provides to the public. For many years Fingal has been to the fore in promoting digital, especially digital that improves quality of life for citizens.  From the early use of open data and data driven services, to the redesign of customer facing services and the innovative approach to public consultation and Council meetings, Fingal has a keen focus on delivering innovative, cost-effective, citizen-centred services. Lisa will be speaking about the use of 3D models/Digital Twins in planning consultation, the introduction of VR headsets to the libraries and the potential benefits of immersive technology on how the council makes decision and engages their citizens.M﻿ichael Galbraith, ArupMichael is an Immersive Technology Specialist at Arup, one of the largest multidisciplinary consultancies in Ireland, where he uses technology to create interactive and immersive visualisations for various purposes such as design reviews, stakeholder engagement and public consultation. Michael holds a Bachelor’s degree in BA(Hons) Interaction Design from The Glasgow School of Art, and is currently undertaking a MSc in Computer Gaming and Extended Realities at Dundalk Institute of Technology.Arup is a global collective of designers, engineering and sustainability consultants, advisors and experts dedicated to sustainable development, and to using imagination, technology and rigour to shape a better world.Michael will speak about Arup’s Immersive Technology team, highlighting how they use real-time game engine software and extended reality (XR) to aid communication, engagement and decision-making in the AEC industry. Their approach integrates technology and techniques from various industries to provide clients with new perspectives on their projects. Michael will also share examples of Arup’s Immersive Technology team’s recent projects, including those used for public consultation, to provide insight into how immersive technology is used to take designs off the page, enabling members of the public to interact with design options and explore what the proposed solutions will feel like. Michael will also demonstrate VR experiences from Arup on the night.John Flanagan, InnovisionInnovision is an innovative 3D visualisation consultancy based in the North West of Ireland. They provide high quality photomontages, visualisations and interactive experiences to support stakeholder engagement and planning applications.Innovision was founded by John Flanagan in 2016. John holds an honours degree in Geomatics from TU Dublin (formerly DIT) and has over seventeen years’ experience in the 3D visualisation industry. He has played a key role in the provision of visualisations for some of Ireland’s largest infrastructure projects and has also worked overseas in the UK, Europe, USA and Africa. This work has included numerous wind-farms (both on-shore and off-shore), solar farms, active travel schemes and numerous other architectural and infrastructural developments.Innovision will discuss how 3D technologies have developed to support stakeholder engagement, and how its experience in Virtual Reality allowed it to keep many clients' planning applications active during the pandemic.John will demonstrate one of their Offshore Wind farm virtual experiences in VR.Michael Guerin, ImvizarMichael Guerin is the Founder of Imvizar. Imvizar’s vision is to revolutionise storytelling through truly immersive, walkable, life-sized experiences. They transform stories from text or video into 3D walkable experiences. They host all experiences on the Imvizar platform, alongside experiences created by others around the world. The platform is said to be like the ‘Netflix for AR.’ They now have experiences in Ireland, UK, Portugal, US and Australia.Michael previously led Dublin’s smart city testbed – Smart Docklands – an initiative which gives startups and innovators an opportunity to trial and test technology in a real urban environment. He also led many of the 5G projects in Dublin, including chairing the Connected City Infrastructure Solution Group on behalf of Telecom Infra Project. He is a Smart City Advisor to the Harvard City Innovator Forum and has worked with startups for the many years as Digital Lead for Startup Ireland and events such as Startup Gathering, Startup Island and Startup Nations Summit.Imvizar specialise in creating walkable experiences using augmented reality. The experiences range from tourism to education and smart cities. This includes bringing Spike Island “Ireland’s Alcatraz” to life with a 15-scene experience which covers blind folded prisoners in the punishment block and full size reconstruction of a Monastery from 600AD.Working with the San Jose Department of Transport and Silicon Valley Bicycle Coalition, Imvizar have implemented a new experience which gives cyclists an opportunity to visualise and offer feedback on new cycling infrastructure before it is built.During this talk, Michael will give various examples of life-sized, walkable experiences and explain the parameters they work within to create a meaningful and engaging experience.Saoirse Colgan, Enterprise Ireland.Saoirse Colgan is a Senior Digitalisation Technologist at Enterprise Ireland with a background leading on digital programmes to drive business outcomes across Irish SMEs and Multinationals. She will talk about 'Paving the way for Immersive Technologies in your Business'. The session will touch on the value that can be realised from introducing immersive technologies to business operations, and how it improves employee and customer satisfaction. The session will extend to key considerations to ensuring that immersive technology is embraced by your business and successfully embedded within business workflows.Enterprise Ireland is the government organisation responsible for the development and growth of Irish enterprises in global markets. Under the Built to Innovate programme, Enterprise Ireland digital innovation supports targeting the homebuilding sector are designed to optimise the industry’s capability to produce residential units in an economically sustainable manner. ","['Ireland Events', 'Dublin City Events', 'Things to do in Dublin', 'Dublin Networking', 'Dublin Business Networking', '#film', '#culture', '#storytelling', '#augmented_reality', '#virtual_reality']",Free
