Event_Id,Event_Cat,Event_brite_url,Event_Name,Event_Time,Event_Link,Event_Location,Event_Title,Ticket_Fare,Event_Time_updates,consolidated_Data
0,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,"Jobs Expo Dublin - Saturday, 22nd April, 2023","Sat, Apr 22, 10:00 AM",https://www.eventbrite.ie/e/jobs-expo-dublin-saturday-22nd-april-2023-tickets-483102441407?aff=ebdssbdestsearch,Hogan Suite • Dublin,"Jobs Expo Dublin - Saturday, 22nd April, 2023",,2023-04-22 10:00:00,"free tickets available via registration 2023. jobs expo returning croke park 2023! jobs expo dublin take place saturday, 22nd april (10am-4pm) inside hogan suite. careers fair brought recruit.ie feature hundreds active job opportunities . jobs expo careers exhibition type feature free admission.what expect jobs expo dublin?employers actively recruiting hundreds jobs home abroadspecialised areas dedicated jobs particular industriesstart business experts offering advice support networksthe career clinic offering one-on-one cv, job seeking career advice professional career guidance counsellorsa packed seminar timetable important topical issues range industry expertscareer clinicthe career clinic offers chance attendees meet professional development coaches. help candidates crucial issues interview skills, cv presentation changing career direction.agenda stagejobs expo's agenda stage host talks variety topics including jobseeking skills using social media land dream job interview techniques well cv writing workshop. seminars include talks industry insiders variety career topics.we look forward seeing jobs expo dublin!privacy / terms & conditionsyour privacy important use never sell, rent give away personal information give us. register attend event you’ll asked choose preferences hearing us again. read privacy policy terms & conditions here. normally take photos video events may used promotional use (social media, website) registration confirms consent use. object let us know day event take steps ensure preference respected.wondering right work ireland? find answer here. best, jobs expo team business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Conventions, Dublin Business Conventions, seminar, careers, careerdevelopment, jobsfair, jobsearch, career fair, career development, career change, career coaching, recruitment event"
1,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,NIBRT Careers in Biopharma 2023,"Sat, Apr 1, 10:00 AM",https://www.eventbrite.ie/e/nibrt-careers-in-biopharma-2023-tickets-530380340877?aff=ebdssbdestsearch,"The Campus, Cherrywood • Dublin",NIBRT Careers in Biopharma 2023,,2023-04-01 10:00:00,"free event provides opportunity meet biopharma companies actively recruiting 100s roles across ireland. 9th annual nibrt careers biopharma event returning campus cherrywood 1st april 2023. event unique opportunity students, recent graduates, individuals seeking join thriving biopharma industry ireland. meet leading employers, attend company presentations, learn latest training upskilling programs, network industry peers. admission free, registration required advance.w﻿ho attend?this event ideal students, recent graduates, anyone seeking enter biopharma workforce ireland. day, expect to:meet employers actively hiring biopharma roles discuss job opportunities directly recruitment teams.listen live presentations top employers gain insights company industry.discover latest training upskilling programs biopharma sector.g﻿etting event:the campus cherrywood conveniently located 2 minutes bride's glen luas station offers free parking. exhibitor informationorganisations interested exhibiting contact emer.norton@nibrt.ie information. early booking recommended places limited.exhibiting companiesabbvie, alexion, a﻿mgen, apc ltd vle therapeutics, atu sligo, azon recruitment, biomarin, bristol myers squibb, crest solutions, dps group, cognizant, eurofins biopharma product testing ltd, eli lilly, janssen sciences ireland, lsc, msd ireland, next generation, nibrt, pda ireland, pioneer, sanofi, takeda ireland, wuxi biologics & wuxi vaccines zoetis. tbcthe biopharma industry irelandthe success irish biopharma industry well documented, biopharma firmly established key pillar irish economy.there 84,000 highly skilled people directly indirectly employed sector expectation increase 10,000 jobs next 5 years.the biopharma chemical sector export value €106bn 2020 – first time sector exceeded €100 billion mark single year.85+ pharmaceutical companies operate ireland exemplary regulatory track records. 50 fda approved pharma biopharma plants including 19 top 20 world’s biopharma companiesabout nibrtnational institute bioprocessing research training, nibrt, world-class institute, delivering training research solutions global biopharmaceutical industry. partnering higher education institutes well industry, nibrt's state art training facility supports international best practice biologics operations. campus cherrywoodthe campus cherrywood dublin’s life sciences destination, designed meet complex needs life sciences companies help grow businesses part wider community like-minded innovators. campus cherrywood home pioneer group’s newly opened state-of-the-art life science incubation acceleration facility comprising fitted labs, offices functional spaces startups smes. location choice ireland many companies operate across range industries including apc, genuity science, zoetis, accenture, abbott mater private. business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Expos, Dublin Business Expos, careerdevelopment, biopharma, biopharmaceutical, career fair, career change"
2,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,Temple Bar Toastmasters- Practice your Public Speaking ability & Leadership,"Tue, Apr 4, 7:00 PM + 1 more event",https://www.eventbrite.ie/e/temple-bar-toastmasters-practice-your-public-speaking-ability-leadership-tickets-430428662717?aff=ebdssbdestsearch,Carmelite Community Centre • Dublin 2,Temple Bar Toastmasters- Practice your Public Speaking ability & Leadership,Free,2023-04-04 19:00:00,"based dublin city centre hold person meetings. club supports levels speakers. boost leadership! toastmasters set speaking goals, following pathways, series speeches try occasions, inspiring others, dealing difficult audiences even wedding speeches!. starting first speech- ice breaker telling us are.you option enter compettitions take club international level.this friendly , supprtive group. everyone improve speaking skills leadership skills gain knowledge constructive feedback receive.all welcome, come see start getting seen expert field public speaking.all first time guests must register. sign desks open 18.45 night! see there! business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Classes, Dublin Business Classes, networking, leadership, talent, speech, toastmasters, dublin, trysomethingnew, publicspeakingworkshop, leadership development, leadership skills"
3,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,PRO FOTO IRELAND 2023,"Tue, Apr 18, 10:00 AM",https://www.eventbrite.ie/e/pro-foto-ireland-2023-tickets-522413662327?aff=ebdssbdestsearch,Green Isle Hotel Conference - Dublin 22 • Dublin,PRO FOTO IRELAND 2023,,2023-04-18 10:00:00,"pro foto ireland - ireland’s first longest running photography & imaging trade show. pro foto ireland - ireland’s first longest running photography & imaging trade show. many changes years, including recent years, new international trade exhibitors invited participate. event ‘professional photographers videographers’ serious ‘freelance photographers’ – however status image makers welcome visit pro foto ireland events. day image maker browse relaxed atmosphere, yet informative colleagues related major suppliers. key features - cameras & lenses; lighting; accessories; photo albums/books; printers-papers & ink; frames & finishing; folders & mounts; insurance; imaging software; new services; associations & education. come see key irish suppliers international trade display latest major brands, new products services best innovators photographic & imaging industry. existing professional freelance image maker maybe starting career industry – must event you! w - http://profotoireland.ie business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Conferences, Dublin Business Conferences, photography, videography, photographyworkshop, videographers, imaging, albums, photography workshop, photography event, video production, videography class"
4,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,What should Ireland’s recruiters prioritise for profitable growth?,"Thu, Apr 20, 8:30 AM",https://www.eventbrite.co.uk/e/what-should-irelands-recruiters-prioritise-for-profitable-growth-tickets-526328321177?aff=ebdssbdestsearch,The Westbury • Dublin 2,What should Ireland’s recruiters prioritise for profitable growth?,,2023-04-20 08:30:00,"join us westbury hotel thursday 20th april 2023 explore growth challenges opportunities irish staffing ts providers several years disruption recruitment - new expectations clients, candidates, consultants - best sector adapting find keep best talent? recruiters ireland access best new opportunities growth - whether new territories, new models services, new clients candidates? transforming recruitment? automation, ai data biggest impact? talent market evolve, winners be, why? talint partners bring together industry experts, solution providers award-winning recruitment leaders answer questions panel debates roundtable discussions followed leaders’ lunch connect peers. agenda 08.30: registration & refreshments 09.00: welcome & state sector: alex evans, managing director, talint partners 09.10: panel: recruiters win war talent clients? 09.40: roundtable discussion 10.00: panel: recruiters maximise international growth opportunities? 10.30: roundtable discussion 10.50: break 11.10: panel: trends, tools models transforming recruitment? 11.40: audience q&a 12.00: round-up & lunch 13.30: close **this invitation event** would like register one ticket, please fill details attendees register, records. business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Networking, Dublin Business Networking"
5,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,StartUp Ballymun presents  'Growing a Sustainable Business',"Wed, Apr 19, 4:30 PM",https://www.eventbrite.ie/e/startup-ballymun-presents-growing-a-sustainable-business-tickets-567922580727?aff=ebdssbdestsearch,Council Chamber • Dublin,StartUp Ballymun presents  'Growing a Sustainable Business',,2023-04-19 16:30:00,"startup ballymun #10 19 april - welcome! free. founders startups, business owners budding entrepreneurs s﻿tartup ballymun sponsored dublin city council - ballymun area offices﻿ustainability business way forward, learn female entrepreneurs adapted sustainble business model.f﻿irst panel members announced-﻿ carol lopez culinary microherbs-﻿ pamela doyle job alert-﻿ emma finn bees roof-﻿ susan owens native denimsevent starts 4.30pm free business mentoring, digital guidance, information stands local businesses & business support agencies. course networking.m﻿eet great folk ballymun's rediscovery centre national centre circular economy ireland. social innovation hub home community people; social entrepreneurs, freelance professionals, start-ups, non-profits, creatives others involved creating positive change communities. dublin northwest partnership’s (dnp) core business responding social exclusion issues promoting self-development, training, education, employment self-employment opportunities individuals community groups. shout sustainability 5.30pm, panel entrepreneurs starts 6pm. light food refreshments available, charge.more details follow panel speakers, information subject changee﻿vent mc: billy linehan, celtar advisers business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Networking, Dublin Business Networking, networking, mentoring, sustainability, entrepreneur, digital, startups, dublin, businessnetworking, women in business, female entrepreneurs"
6,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,"Inaugural Lecture for Prof. Catherine Welch, Prof. of Strategic Management","Tue, Apr 4, 6:00 PM",https://www.eventbrite.ie/e/inaugural-lecture-for-prof-catherine-welch-prof-of-strategic-management-tickets-542875955597?aff=ebdssbdestsearch,Trinity Business School • Dublin 2,"Inaugural Lecture for Prof. Catherine Welch, Prof. of Strategic Management",,2023-04-04 18:00:00,"seductive concepts: management fashions become management theories management researchers study do? explains popularity research topics others? management theories come matter? decide ideas attain status theory? lecture examine alluring source inspiration theory development management strategy research: management fashions. management fashions simplistic recipes success accompanied catchy phrases scant empirical evidence. created, popularized disseminated powerful idea merchants contemporary global economy: management consultants. also proven highly attractive management researchers, played important role cementing reach, influence respectability. line existing inquiry management fashions, take institutional approach examine consulting-derived concepts established legitimized management field. order illustrate process, select influential fashion international strategy – ‘born global’ firm – examine consulting origins impact academic research. means in-depth analysis key texts, follow fashion lifecycle ‘born global’ concept, creation import, institutionalization eventual mutation. so, address concept able gain legitimacy set theoretical claims, despite lack strong empirical foundations robust examination. conclude broader implications management research societal role universities. specifically, outline scholarly community, might engage productively critically influence management consultants. management scholars urged make research ‘relevant’, argue timeliness examining rethinking consulting-research nexus. neo-liberal era multinational consulting firms accumulated vast power influence little oversight, invite discussion management researchers may reassert identities independent voices. business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Seminars, Dublin Business Seminars, management, business professional"
7,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,"Monthly #FirstFridayFair Business, Data & Tech (Virtual Event) - #DUB","Fri, Apr 7, 11:00 AM",https://www.eventbrite.com/e/monthly-firstfridayfair-business-data-tech-virtual-event-dub-tickets-26653593616?aff=ebdssbdestsearch,Virtual Event [Online Only] • Virtual Event Only,"Monthly #FirstFridayFair Business, Data & Tech (Virtual Event) - #DUB",Free,2023-04-07 11:00:00,"attend world's largest virtual career drive https://fff.analyticsweek.com/jobexpo virtual career fair event happens first friday month.. participate:1. create account https://fff.analyticsweek.com [link: https://fff.analyticsweek.com/login/]2. visit https://fff.analyticsweek.com/jobexpo register interest3. participants go #firstfridayfair jobexpo settings page complete profile4. 2-3 days event, jobseekers participants completed profile contacted possible matches profile.5. day event, jobseekers recruiters visit jobexpo page participate #firstfridayfair jobexpo.#firstfridayfair (#fff) world's largest attended career fair around 170,000 professionals 7000 recruiting companies. data science software development focussed career fair delivered right desktop. need travel anywhere, signup wait jobexpo [ai powered career fair] organize interactions. we've taken inefficiencies career fair added everything makes career fair successful event. signup experience future hiring delivered via tao.ai (world's fastest growing ai led career development platform).here's process:when: month event occur first friday month (business, data, technology hiring)where: https://fff.analyticsweek.com/jobexpo platform (tao.ai inform recruiter / job seeker match found, never waste time queue).why matters?best industry hirings done power networking reference. tao.ai using ai platform uses power skill connectivity identical profile portfolio connect similar candidates relevant opportunities. tao.ai brings relationship connection back hiring.takeaways?we expect event to:1. create interesting conversations2. improve access local talent local opportunities3. provide venue promote effective hiring4. connect professionals seekers could collaborate improve search5. discover top businesses looking talent6. educate recruiters job seekers top trends hiring skills trendy rising.about tao.ai:tao.ai artificial intelligence led platform building improving access top talent, facilitate sustained hiring create smart ecosystem works top talent top opportunities promote long term prospects businesses professionals. tao.ai already resulted top hirings industry. business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Festivals, Dublin Business Festivals"
8,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,The basics of good leadership in health and safety,"Wed, Apr 19, 12:30 PM",https://www.eventbrite.co.uk/e/the-basics-of-good-leadership-in-health-and-safety-tickets-547244171047?aff=ebdssbdestsearch,"Clayton Hotel Liffey Valley, • Dublin",The basics of good leadership in health and safety,,2023-04-19 12:30:00,"conference provide tips good health safety leadership instil positive safety culture organisation. conference provide tips good health safety leadership, instil positive safety culture organisation, good role model positive health safety practices much more. good leader health safety influence good health safety culture organisation turn positive performance health safety matters. effective health safety strategies place, leader ability make positive impact workers behaviours attitudes towards working practices.focusing core element iosh’s competency framework help iosh members cpd area. core skill health safety leader develop good professional relationship workers, help open communication channels health safety person workers. join event hear experts area gain tips tools bring back organisations continual professional development. t﻿his event plans cover following iosh competencies: leadership management, professional journey progression, planning lead level. r﻿efreshments light lunch included. dietary requirements, please email irelandeast@ioshnetworks.com business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Conferences, Dublin Business Conferences, health, safety, iosh"
9,business,https://www.eventbrite.com/d/ireland--dublin/business--events--next-month/?page=1,Onward #3 - Immersive Technologies for Civic Engagement,"Thu, Apr 20, 6:00 PM",https://www.eventbrite.ie/e/onward-3-immersive-technologies-for-civic-engagement-tickets-582247978377?aff=ebdssbdestsearch,Meta • Dublin,Onward #3 - Immersive Technologies for Civic Engagement,Free,2023-04-20 18:00:00,"exploring opportunities challenges around immersive technologies civic engagement eirmersive delighted announce onward #3 : exploring opportunities challenges around immersive technologies civic engagement - third immersive industry event series supported meta. onward #3 takes place evening thursday april 20th meta hq ballsbridge, dublin.featuring leading thinkers, companies product demonstrations world augmented virtual reality, ‘onward’ aims bring industry together network, share cross-sector knowledge learn value impact immersive technologies enterprise creative sectors. eirmersive chairperson, fiona kilkelly said, ""onward creates much needed opportunity immersive tech sector meet new collaborators, gain new insight information experience immersive tech products, experiences solutions. connecting sharing vital stage immersive tech sector’s growth delighted support meta enables eirmersive that"". a﻿genda6.00 - 6.10pm: doors open6.00 - 6.20pm: demo’s, networking & mixing6.20 - 6.30pm: introduction welcome address (eirmersive meta)6.30 - 6.40pm: carol tallon - placeengage6.40 - 6.50pm: lisa deacon - fingal county council6.50 - 7.00pm: michael galbraith - arup7﻿.00 - 7.10pm: john flanagan - innovision7﻿.10 - 7.20pm: michael guerin - imvizar7﻿:20 - 7:30pm: saoirse colgan - enterprise ireland7.30 - 7.50pm: panel discussion immersive technologies civic impact carol tallon, lisa deacon, michael galbraith, john flanagan, michael guerin saoirse colgan7﻿.50 - 8.00pm: introductions application demos8:00 - 9:00pm: food, demo’s, networking & mixingpresentationsc﻿arol tallon, property districtcarol tallon, ceo communications agency property district, legal graduate, specialising pr, new media public consultation built environment. 15 years experience across planning, construction, property proptech sectors, carol worked government agencies, industry representative bodies, property developers, construction contractors, auctioneering firms media outlets. addition founding proptech ireland esg initiative back 2016 rolling ireland’s virtual town hall ‘placeengage’, carol property district team produce ireland’s first weekly radio show property industry ‘property matters’ dublin south fm ipropertyradio.com. carol talk placeengage, virtual town hall: digital placemaking & emerging technologies urban development: placemaking describes holistic inclusive approach successful, sustainable, people-centred urban development. new tools technologies allow project owners host digital assets pertaining project one ai-enabled platform, invite gather data local area insights community. project stakeholders local communities 'experience' proposed new development immersive technologies like augmented reality virtual reality. using emerging technologies capture insights planners, designers, engineers architects together local communities end users mixed tenure developments, get regulatory-compliant, citizen-owned neighbourhood strategy works.l﻿isa deacon, fingal county councillisa deacon works digital project manager fingal county council. joined fingal’s library department 2001 courses physics instrumentation computer programming. 2015, lisa completed bsoc social science. course reignited interest technology digital transformation. 2019 lisa moved fingal’s digital services department working implementation fingal digital strategy looking immersive technologies enhance citizen engagement. fingal county council local authority, north dublin city, offices swords blanchardstown. serves geographical location 448. sq km spans rural, coastal, urban, suburban communities home several key elements national regional infrastructure, including dublin airport. fingal county council committed driving innovation public services continually striving improve develop services provides public. many years fingal fore promoting digital, especially digital improves quality life citizens. early use open data data driven services, redesign customer facing services innovative approach public consultation council meetings, fingal keen focus delivering innovative, cost-effective, citizen-centred services. lisa speaking use 3d models/digital twins planning consultation, introduction vr headsets libraries potential benefits immersive technology council makes decision engages citizens.m﻿ichael galbraith, arupmichael immersive technology specialist arup, one largest multidisciplinary consultancies ireland, uses technology create interactive immersive visualisations various purposes design reviews, stakeholder engagement public consultation. michael holds bachelor’s degree ba(hons) interaction design glasgow school art, currently undertaking msc computer gaming extended realities dundalk institute technology.arup global collective designers, engineering sustainability consultants, advisors experts dedicated sustainable development, using imagination, technology rigour shape better world.michael speak arup’s immersive technology team, highlighting use real-time game engine software extended reality (xr) aid communication, engagement decision-making aec industry. approach integrates technology techniques various industries provide clients new perspectives projects. michael also share examples arup’s immersive technology team’s recent projects, including used public consultation, provide insight immersive technology used take designs page, enabling members public interact design options explore proposed solutions feel like. michael also demonstrate vr experiences arup night.john flanagan, innovisioninnovision innovative 3d visualisation consultancy based north west ireland. provide high quality photomontages, visualisations interactive experiences support stakeholder engagement planning applications.innovision founded john flanagan 2016. john holds honours degree geomatics tu dublin (formerly dit) seventeen years’ experience 3d visualisation industry. played key role provision visualisations ireland’s largest infrastructure projects also worked overseas uk, europe, usa africa. work included numerous wind-farms (both on-shore off-shore), solar farms, active travel schemes numerous architectural infrastructural developments.innovision discuss 3d technologies developed support stakeholder engagement, experience virtual reality allowed keep many clients' planning applications active pandemic.john demonstrate one offshore wind farm virtual experiences vr.michael guerin, imvizarmichael guerin founder imvizar. imvizar’s vision revolutionise storytelling truly immersive, walkable, life-sized experiences. transform stories text video 3d walkable experiences. host experiences imvizar platform, alongside experiences created others around world. platform said like ‘netflix ar.’ experiences ireland, uk, portugal, us australia.michael previously led dublin’s smart city testbed – smart docklands – initiative gives startups innovators opportunity trial test technology real urban environment. also led many 5g projects dublin, including chairing connected city infrastructure solution group behalf telecom infra project. smart city advisor harvard city innovator forum worked startups many years digital lead startup ireland events startup gathering, startup island startup nations summit.imvizar specialise creating walkable experiences using augmented reality. experiences range tourism education smart cities. includes bringing spike island “ireland’s alcatraz” life 15-scene experience covers blind folded prisoners punishment block full size reconstruction monastery 600ad.working san jose department transport silicon valley bicycle coalition, imvizar implemented new experience gives cyclists opportunity visualise offer feedback new cycling infrastructure built.during talk, michael give various examples life-sized, walkable experiences explain parameters work within create meaningful engaging experience.saoirse colgan, enterprise ireland.saoirse colgan senior digitalisation technologist enterprise ireland background leading digital programmes drive business outcomes across irish smes multinationals. talk 'paving way immersive technologies business'. session touch value realised introducing immersive technologies business operations, improves employee customer satisfaction. session extend key considerations ensuring immersive technology embraced business successfully embedded within business workflows.enterprise ireland government organisation responsible development growth irish enterprises global markets. built innovate programme, enterprise ireland digital innovation supports targeting homebuilding sector designed optimise industry’s capability produce residential units economically sustainable manner. business Ireland Events, Dublin City Events, Things to do in Dublin, Dublin Networking, Dublin Business Networking, film, culture, storytelling, augmented reality, virtual reality"
