EventName,Fare,TypeOfTrip,Ratings,description,Link,Event_Type
1. Kilmainham Gaol Museum,,Speciality Museums • Historic Sites,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d191025-Reviews-Kilmainham_Gaol_Museum-Dublin_County_Dublin.html,Activites
2. The Little Museum of Dublin,,Speciality Museums • History Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2306703-Reviews-The_Little_Museum_of_Dublin-Dublin_County_Dublin.html,Activites
3. Guinness Storehouse,,Speciality Museums • Historic Sites,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189694-Reviews-Guinness_Storehouse-Dublin_County_Dublin.html,Activites
4. Irish Whiskey Museum,,Speciality Museums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d7222524-Reviews-Irish_Whiskey_Museum-Dublin_County_Dublin.html,Activites
5. Jameson Distillery Bow St.,,Distilleries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216616-Reviews-Jameson_Distillery_Bow_St-Dublin_County_Dublin.html,Activites
6. St Stephens Green,,Parks,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189054-Reviews-St_Stephens_Green-Dublin_County_Dublin.html,Activites
7. The Book of Kells and the Old Library Exhibition,,Points of Interest & Landmarks • Libraries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d215062-Reviews-The_Book_of_Kells_and_the_Old_Library_Exhibition-Dublin_County_Dublin.html,Activites
8. Experience Glasnevin - Ireland's National Cemetery,,Speciality Museums • Cemeteries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214896-Reviews-Experience_Glasnevin_Ireland_s_National_Cemetery-Dublin_County_Dublin.html,Activites
9. EPIC The Irish Emigration Museum,,Speciality Museums • History Museums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d10184456-Reviews-EPIC_The_Irish_Emigration_Museum-Dublin_County_Dublin.html,Activites
10. Trinity College Dublin,,Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d188502-Reviews-Trinity_College_Dublin-Dublin_County_Dublin.html,Activites
11. The Irish  Rock 'N' Roll Museum Experience,,Speciality Museums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d8342762-Reviews-The_Irish_Rock_N_Roll_Museum_Experience-Dublin_County_Dublin.html,Activites
12. National Museum of Ireland - Archaeology,,History Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d274489-Reviews-National_Museum_of_Ireland_Archaeology-Dublin_County_Dublin.html,Activites
13. Temple Bar,,Neighbourhoods • Points of Interest & Landmarks,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d188821-Reviews-Temple_Bar-Dublin_County_Dublin.html,Activites
14. Teeling Whiskey Distillery,,Distilleries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d7813498-Reviews-Teeling_Whiskey_Distillery-Dublin_County_Dublin.html,Activites
15. Chester Beatty,,Art Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214878-Reviews-Chester_Beatty-Dublin_County_Dublin.html,Activites
16. 14 Henrietta Street,,Historic Sites • History Museums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d10809925-Reviews-14_Henrietta_Street-Dublin_County_Dublin.html,Activites
17. Croke Park Stadium Tour & GAA Museum,,Speciality Museums • Arenas & Stadiums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d546279-Reviews-Croke_Park_Stadium_Tour_GAA_Museum-Dublin_County_Dublin.html,Activites
18. Saint Patrick's Cathedral,,Historic Sites • Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d188504-Reviews-Saint_Patrick_s_Cathedral-Dublin_County_Dublin.html,Activites
19. National Botanic Gardens,,Gardens,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216335-Reviews-National_Botanic_Gardens-Dublin_County_Dublin.html,Activites
20. Phoenix Park,,Parks,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189068-Reviews-Phoenix_Park-Dublin_County_Dublin.html,Activites
21. Dublin Zoo,,Zoos,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214885-Reviews-Dublin_Zoo-Dublin_County_Dublin.html,Activites
22. Christ Church Cathedral,,Historic Sites • Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214879-Reviews-Christ_Church_Cathedral-Dublin_County_Dublin.html,Activites
23. The Jeanie Johnston: An Irish Famine Story,,Speciality Museums • History Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1909667-Reviews-The_Jeanie_Johnston_An_Irish_Famine_Story-Dublin_County_Dublin.html,Activites
